facet,year,series,value
Latin America,2020,Costa Rica,44.8939035569071
Latin America,2020,Mexico,60.5086649522021
Latin America,2020,Panama,53.7426622274736
Latin America,2020,Paraguay,63.6863882196084
Latin America,2020,Peru,50.1968286319843
Latin America,2020,Region average,53.8808550052248
Latin America,2021,Argentina,51.3019060688448
Latin America,2021,Brazil,54.3658021910703
Latin America,2021,Chile,43.094459907357
Latin America,2021,Colombia,58.7195515496222
Latin America,2021,Costa Rica,44.2184440792825
Latin America,2021,Mexico,58.7286851959636
Latin America,2021,Panama,52.7652210572264
Latin America,2021,Paraguay,63.276828766996
Latin America,2021,Peru,49.7767649931521
Latin America,2021,Region average,53.2063183052829
Latin America,2022,Argentina,50.5367298600847
Latin America,2022,Brazil,53.6656945240879
Latin America,2022,Chile,43.4786163723872
Latin America,2022,Colombia,57.3436798228096
Latin America,2022,Costa Rica,43.3713263353122
Latin America,2022,Mexico,57.1599777126798
Latin America,2022,Panama,51.6766598263417
Latin America,2022,Paraguay,62.8672693143836
Latin America,2022,Peru,48.7091972699416
Latin America,2022,Region average,52.4551055544725
Latin America,2023,Argentina,50.0315937095721
Latin America,2023,Chile,44.7738732446716
Latin America,2023,Colombia,55.5716520271443
Latin America,2023,Costa Rica,41.8682076749743
Latin America,2023,Mexico,56.6380940037162
Latin America,2023,Panama,50.5880985954569
Latin America,2023,Paraguay,60.9823625685215
Latin America,2023,Region average,51.9660941124875
MENA,2000,Türkiye,80.1099156973876
MENA,2001,Türkiye,80.1659595815013
MENA,2002,Türkiye,79.8433505736192
MENA,2003,Türkiye,78.9786346527844
MENA,2004,Türkiye,78.2572230084198
MENA,2005,Iran,74.5404820683054
MENA,2005,Tunisia,43.0480567230045
MENA,2005,Türkiye,77.3871915237118
MENA,2006,Iran,73.6649099401819
MENA,2006,Tunisia,42.5111861453926
MENA,2006,Türkiye,76.1427326810529
MENA,2007,Algeria,26.2008733624454
MENA,2007,Iran,71.8728341999611
MENA,2007,Jordan,73.9263803680982
MENA,2007,Morocco,40.1662049861496
MENA,2007,Tunisia,41.6047179497886
MENA,2007,Türkiye,75.465609731667
MENA,2008,Algeria,26.7962723296981
MENA,2008,Iran,69.3465060498578
MENA,2008,Jordan,73.0886262470347
MENA,2008,Morocco,40.4579583371762
MENA,2008,Tunisia,41.5860291033026
MENA,2008,Türkiye,75.1929389244154
MENA,2009,Algeria,27.3916712969508
MENA,2009,Iran,68.3471094812478
MENA,2009,Jordan,72.2508721259712
MENA,2009,Morocco,40.7497116882029
MENA,2009,Tunisia,41.6500882891388
MENA,2009,Türkiye,74.3150709283213
MENA,2010,Algeria,27.9870702642035
MENA,2010,Iran,67.9070441380528
MENA,2010,Jordan,71.4131180049077
MENA,2010,Morocco,41.0414650392295
MENA,2010,Tunisia,42.1239255058513
MENA,2010,Türkiye,73.2845263849467
MENA,2011,Algeria,28.5824692314562
MENA,2011,Egypt,84.4364420385711
MENA,2011,Iran,65.7093533497936
MENA,2011,Iraq,75.422986413205
MENA,2011,Jordan,70.5753638838442
MENA,2011,Morocco,41.3332183902561
MENA,2011,Tunisia,42.7398167053172
MENA,2011,Türkiye,72.3599584997972
MENA,2011,Region average,60.1449510640301
